#cnum	V	H	C	MunH	MunV	L*	a*	b*	prob
272	B	28	2	10.00B	9.0	91.08	-3.48	-5.55	0.0
172	B	29	2	2.50PB	9.0	91.08	-1.49	-5.61	0.0
158	B	30	2	5.00PB	9.0	91.08	-0.37	-5.58	0.0
120	B	31	2	7.50PB	9.0	91.08	1.12	-5.38	0.0
286	B	32	2	10.00PB	9.0	91.08	2.19	-4.93	0.009226441485054493
262	B	33	2	2.50P	9.0	91.08	2.95	-4.85	0.0
107	B	34	2	5.00P	9.0	91.08	3.36	-4.24	0.004485053946163298
241	B	35	2	7.50P	9.0	91.08	4.31	-2.82	0.0
319	B	36	2	10.00P	9.0	91.08	4.7	-2.0	0.0
224	B	37	2	2.50RP	9.0	91.08	5.04	-1.14	0.0
314	B	38	2	5.00RP	9.0	91.08	5.27	-0.1	0.0
252	B	39	2	7.50RP	9.0	91.08	5.41	0.74	0.002476027236820877
44	B	40	2	10.00RP	9.0	91.08	5.44	1.5	0.01311278926439282
16	C	0	0	10.00RP	8.0	81.35	-0.05	0.06	0.0
217	C	1	6	2.50R	8.0	81.35	23.67	9.47	0.005500121042088171
201	C	2	6	5.00R	8.0	81.35	23.18	13.11	0.0
84	C	3	6	7.50R	8.0	81.35	22.67	17.48	0.012600169414034114
56	C	4	6	10.00R	8.0	81.35	21.06	22.4	0.0
237	C	5	6	2.50YR	8.0	81.35	18.52	26.72	0.0010878817863807426
6	C	6	6	5.00YR	8.0	81.35	14.87	30.96	0.0
159	C	7	8	7.50YR	8.0	81.35	14.98	47.04	0.0
174	C	8	14	10.00YR	8.0	81.35	15.1	90.21	0.0
297	C	9	16	2.50Y	8.0	81.35	7.28	109.12	0.0
96	C	10	14	5.00Y	8.0	81.35	-3.69	100.18	0.0
12	C	11	12	7.50Y	8.0	81.35	-10.94	87.9	0.004884772074250196
128	C	12	12	10.00Y	8.0	81.35	-17.25	87.99	0.0
214	C	13	12	2.50GY	8.0	81.35	-26.04	85.63	0.0
124	C	14	10	5.00GY	8.0	81.35	-30.49	65.57	0.0
306	C	15	10	7.50GY	8.0	81.35	-40.58	54.46	0.0
149	C	16	8	10.00GY	8.0	81.35	-38.45	34.02	0.0
251	C	17	8	2.50G	8.0	81.35	-42.41	23.78	0.0
67	C	18	6	5.00G	8.0	81.35	-33.8	12.41	0.008033774019623158
229	C	19	6	7.50G	8.0	81.35	-33.63	8.67	0.0
5	C	20	6	10.00G	8.0	81.35	-33.04	4.96	0.0
196	C	21	6	2.50BG	8.0	81.35	-32.18	1.81	0.0
100	C	22	4	5.00BG	8.0	81.35	-21.19	-1.35	0.009649715391529368
2	C	23	4	7.50BG	8.0	81.35	-19.64	-4.3	0.025587823393754892
31	C	24	4	10.00BG	8.0	81.35	-18.27	-7.01	0.0
175	C	25	4	2.50B	8.0	81.35	-16.44	-9.33	0.0
74	C	26	4	5.00B	8.0	81.35	-13.22	-11.59	0.004203204264346269
116	C	27	4	7.50B	8.0	81.35	-10.44	-12.79	0.0
264	C	28	4	10.00B	8.0	81.35	-6.82	-13.92	0.0
189	C	29	6	2.50PB	8.0	81.35	-5.05	-23.28	0.0013378176649043619
303	C	30	6	5.00PB	8.0	81.35	-0.24	-24.03	0.0
142	C	31	4	7.50PB	8.0	81.35	3.22	-14.27	0.0
70	C	32	4	10.00PB	8.0	81.35	5.82	-13.42	0.0
139	C	33	4	2.50P	8.0	81.35	8.19	-12.62	0.0
59	C	34	4	5.00P	8.0	81.35	9.68	-11.26	0.0
15	C	35	6	7.50P	8.0	81.35	18.74	-12.74	0.0
78	C	36	6	10.00P	8.0	81.35	21.03	-9.69	0.0
285	C	37	6	2.50RP	8.0	81.35	22.62	-5.51	0.0
190	C	38	6	5.00RP	8.0	81.35	23.53	-0.96	0.0
160	C	39	6	7.50RP	8.0	81.35	23.82	2.52	0.0
292	C	40	6	10.00RP	8.0	81.35	23.74	6.18	0.0
300	D	0	0	10.00RP	7.0	71.6	-0.04	0.05	0.0
63	D	1	8	2.50R	7.0	71.6	32.18	12.57	0.0
151	D	2	8	5.00R	7.0	71.6	31.7	17.23	0.0
35	D	3	10	7.50R	7.0	71.6	38.22	29.22	0.0
278	D	4	10	10.00R	7.0	71.6	34.96	37.54	0.031432696339526105
318	D	5	10	2.50YR	7.0	71.6	30.67	44.56	0.0
212	D	6	14	5.00YR	7.0	71.6	32.89	77.02	0.0
187	D	7	14	7.50YR	7.0	71.6	24.12	84.39	0.0
110	D	8	14	10.00YR	7.0	71.6	15.62	90.72	0.0
326	D	9	12	2.50Y	7.0	71.6	6.22	81.95	0.007775482740390897
146	D	10	12	5.00Y	7.0	71.6	-2.3	85.64	0.0
258	D	11	12	7.50Y	7.0	71.6	-9.51	87.14	0.0
193	D	12	12	10.00Y	7.0	71.6	-15.98	87.62	0.0
91	D	13	12	2.50GY	7.0	71.6	-24.87	85.15	0.0
143	D	14	12	5.00GY	7.0	71.6	-34.49	79.15	0.0
33	D	15	10	7.50GY	7.0	71.6	-40.28	53.23	0.05322418547630162
315	D	16	10	10.00GY	7.0	71.6	-46.7	41.31	0.0
268	D	17	10	2.50G	7.0	71.6	-51.55	27.69	0.0
29	D	18	8	5.00G	7.0	71.6	-41.95	14.43	0.0
161	D	19	8	7.50G	7.0	71.6	-41.85	9.77	0.0008462596213541928
145	D	20	8	10.00G	7.0	71.6	-41.54	5.41	0.0
253	D	21	8	2.50BG	7.0	71.6	-40.91	1.15	0.002241734175361136
82	D	22	8	5.00BG	7.0	71.6	-39.21	-4.56	0.0
289	D	23	6	7.50BG	7.0	71.6	-27.52	-7.11	0.0
186	D	24	6	10.00BG	7.0	71.6	-25.13	-11.03	0.0
49	D	25	6	2.50B	7.0	71.6	-22.32	-14.67	0.0
200	D	26	6	5.00B	7.0	71.6	-18.37	-18.07	0.0
104	D	27	6	7.50B	7.0	71.6	-14.22	-19.9	0.0
138	D	28	8	10.00B	7.0	71.6	-12.05	-29.46	0.0
322	D	29	8	2.50PB	7.0	71.6	-5.09	-30.75	0.0
254	D	30	8	5.00PB	7.0	71.6	0.85	-31.32	0.0
102	D	31	6	7.50PB	7.0	71.6	6.06	-22.71	0.0026870628066215227
213	D	32	6	10.00PB	7.0	71.6	10.25	-21.6	0.0
167	D	33	6	2.50P	7.0	71.6	13.67	-19.66	0.0
99	D	34	6	5.00P	7.0	71.6	16.13	-17.52	0.0
152	D	35	8	7.50P	7.0	71.6	26.62	-18.32	0.0
215	D	36	8	10.00P	7.0	71.6	29.26	-13.95	0.0
86	D	37	10	2.50RP	7.0	71.6	38.97	-10.98	0.0726579048063648
118	D	38	10	5.00RP	7.0	71.6	40.04	-2.7	0.0
239	D	39	8	7.50RP	7.0	71.6	32.47	2.76	0.014769523675456966
126	D	40	8	10.00RP	7.0	71.6	32.41	7.97	0.002393745948374947
263	E	0	0	10.00RP	6.0	61.7	-0.04	0.04	0.0
256	E	1	12	2.50R	6.0	61.7	49.42	18.23	0.015015624618670611
176	E	2	12	5.00R	6.0	61.7	48.53	25.92	0.0
17	E	3	12	7.50R	6.0	61.7	46.38	35.47	0.012527551030960772
121	E	4	14	10.00R	6.0	61.7	49.15	56.82	0.0
125	E	5	16	2.50YR	6.0	61.7	44.69	79.79	0.0
261	E	6	12	5.00YR	6.0	61.7	29.38	64.4	0.0
270	E	7	12	7.50YR	6.0	61.7	22.09	71.31	0.005523050232155695
48	E	8	12	10.00YR	6.0	61.7	14.45	76.93	0.0
181	E	9	10	2.50Y	6.0	61.7	5.87	68.59	0.0
42	E	10	10	5.00Y	6.0	61.7	-1.4	71.61	0.007916672299553434
275	E	11	10	7.50Y	6.0	61.7	-7.92	73.21	0.004625194252066657
218	E	12	10	10.00Y	6.0	61.7	-14.02	73.17	0.0
236	E	13	10	2.50GY	6.0	61.7	-21.81	70.54	0.003737803101503999
81	E	14	10	5.00GY	6.0	61.7	-30.13	65.11	0.0
7	E	15	12	7.50GY	6.0	61.7	-46.97	64.65	0.016955443148789884
282	E	16	12	10.00GY	6.0	61.7	-55.94	49.19	0.0
45	E	17	10	2.50G	6.0	61.7	-51.58	26.3	0.0
180	E	18	10	5.00G	6.0	61.7	-52.22	16.26	0.0
310	E	19	10	7.50G	6.0	61.7	-52.09	10.63	0.0
119	E	20	10	10.00G	6.0	61.7	-51.88	5.51	0.0
147	E	21	8	2.50BG	6.0	61.7	-41.11	0.19	0.0
246	E	22	8	5.00BG	6.0	61.7	-39.17	-5.88	0.0
136	E	23	8	7.50BG	6.0	61.7	-36.77	-10.9	0.006838874205394616
55	E	24	8	10.00BG	6.0	61.7	-33.16	-16.42	0.0
40	E	25	8	2.50B	6.0	61.7	-29.22	-21.27	0.0
211	E	26	8	5.00B	6.0	61.7	-22.98	-25.73	0.0
19	E	27	8	7.50B	6.0	61.7	-16.81	-28.31	0.0
153	E	28	10	10.00B	6.0	61.7	-13.07	-37.55	0.0022910135634259684
1	E	29	10	2.50PB	6.0	61.7	-4.52	-39.18	0.0
37	E	30	10	5.00PB	6.0	61.7	2.64	-39.49	0.0
233	E	31	8	7.50PB	6.0	61.7	9.58	-30.64	0.0
62	E	32	8	10.00PB	6.0	61.7	15.28	-29.05	0.0
308	E	33	8	2.50P	6.0	61.7	20.07	-26.92	0.017088069914204983
197	E	34	8	5.00P	6.0	61.7	23.29	-23.79	0.0
273	E	35	10	7.50P	6.0	61.7	34.47	-24.03	0.0
32	E	36	10	10.00P	6.0	61.7	37.1	-18.34	0.0
68	E	37	10	2.50RP	6.0	61.7	38.67	-11.63	0.009144795567634386
28	E	38	10	5.00RP	6.0	61.7	40.07	-3.44	0.0
21	E	39	12	7.50RP	6.0	61.7	49.38	2.78	0.0
173	E	40	12	10.00RP	6.0	61.7	49.67	10.71	0.0
46	F	0	0	10.00RP	5.0	51.57	-0.03	0.04	0.0032520044778914297
321	F	1	14	2.50R	5.0	51.57	59.36	19.67	0.0
298	F	2	14	5.00R	5.0	51.57	58.01	30.52	0.0
288	F	3	14	7.50R	5.0	51.57	55.76	42.05	0.009121782776692264
3	F	4	16	10.00R	5.0	51.57	55.2	68.32	0.010298731056286268
76	F	5	14	2.50YR	5.0	51.57	40.53	69.04	0.0
30	F	6	12	5.00YR	5.0	51.57	29.45	64.44	0.0
185	F	7	10	7.50YR	5.0	51.57	19.79	58.75	0.0
208	F	8	10	10.00YR	5.0	51.57	13.12	63.99	0.0
287	F	9	8	2.50Y	5.0	51.57	5.33	54.9	0.0
58	F	10	8	5.00Y	5.0	51.57	-0.48	57.27	0.0029689153469367926
225	F	11	8	7.50Y	5.0	51.57	-6.4	58.71	0.0
320	F	12	8	10.00Y	5.0	51.57	-11.71	58.46	0.0
304	F	13	8	2.50GY	5.0	51.57	-18.37	55.88	0.0
280	F	14	8	5.00GY	5.0	51.57	-25.02	50.55	0.0
195	F	15	10	7.50GY	5.0	51.57	-40.14	52.84	0.0
20	F	16	12	10.00GY	5.0	51.57	-56.86	49.22	0.005532973367857051
202	F	17	12	2.50G	5.0	51.57	-63.28	28.95	0.0
85	F	18	10	5.00G	5.0	51.57	-52.87	15.46	0.004985754339607545
299	F	19	10	7.50G	5.0	51.57	-52.69	9.7	0.0
223	F	20	10	10.00G	5.0	51.57	-51.99	4.46	0.0033149260773086974
301	F	21	10	2.50BG	5.0	51.57	-51.2	-1.36	0.0
316	F	22	8	5.00BG	5.0	51.57	-38.59	-7.0	0.014243169165697477
238	F	23	8	7.50BG	5.0	51.57	-36.19	-11.99	0.0
77	F	24	8	10.00BG	5.0	51.57	-32.36	-17.71	0.001245588116374727
307	F	25	8	2.50B	5.0	51.57	-27.95	-22.24	0.0
188	F	26	8	5.00B	5.0	51.57	-21.72	-26.63	0.0
169	F	27	8	7.50B	5.0	51.57	-15.72	-29.08	0.0
34	F	28	10	10.00B	5.0	51.57	-11.88	-38.56	0.0
164	F	29	12	2.50PB	5.0	51.57	-3.41	-48.08	0.0
291	F	30	12	5.00PB	5.0	51.57	5.02	-48.35	0.006792810540503102
220	F	31	10	7.50PB	5.0	51.57	14.19	-39.14	0.0016901212597670086
247	F	32	10	10.00PB	5.0	51.57	22.05	-37.02	0.0
192	F	33	10	2.50P	5.0	51.57	27.4	-33.72	0.0
23	F	34	10	5.00P	5.0	51.57	31.24	-29.94	0.0
231	F	35	10	7.50P	5.0	51.57	35.21	-24.66	0.0
269	F	36	12	10.00P	5.0	51.57	46.17	-23.4	0.0
203	F	37	12	2.50RP	5.0	51.57	48.98	-15.95	0.0
207	F	38	12	5.00RP	5.0	51.57	51.2	-5.84	0.0
65	F	39	14	7.50RP	5.0	51.57	59.69	1.53	0.0
112	F	40	14	10.00RP	5.0	51.57	59.79	10.72	0.0
154	G	0	0	10.00RP	4.0	41.22	-0.03	0.03	0.009927112710299515
98	G	1	14	2.50R	4.0	41.22	61.4	17.92	0.0
148	G	2	14	5.00R	4.0	41.22	59.5	30.17	0.0
245	G	3	14	7.50R	4.0	41.22	56.6	40.99	0.0
132	G	4	14	10.00R	4.0	41.22	51.06	58.81	0.0
266	G	5	10	2.50YR	4.0	41.22	32.37	46.62	0.0
9	G	6	8	5.00YR	4.0	41.22	22.15	41.13	0.0
329	G	7	8	7.50YR	4.0	41.22	17.04	45.95	0.0
295	G	8	6	10.00YR	4.0	41.22	9.31	37.8	0.0015696585749359127
183	G	9	6	2.50Y	4.0	41.22	4.42	40.43	0.0
232	G	10	6	5.00Y	4.0	41.22	-0.21	42.37	0.0
103	G	11	6	7.50Y	4.0	41.22	-4.87	43.26	0.0034895363465818475
69	G	12	6	10.00Y	4.0	41.22	-9.31	43.05	0.0
165	G	13	6	2.50GY	4.0	41.22	-14.57	40.52	0.0
171	G	14	6	5.00GY	4.0	41.22	-19.48	36.56	0.00770564296028679
54	G	15	8	7.50GY	4.0	41.22	-33.18	41.15	0.0033435725914228906
39	G	16	8	10.00GY	4.0	41.22	-38.39	31.53	0.008954398656929494
122	G	17	10	2.50G	4.0	41.22	-53.57	23.28	0.0
234	G	18	10	5.00G	4.0	41.22	-54.08	14.27	0.0
72	G	19	10	7.50G	4.0	41.22	-53.43	8.61	0.0007254419997247101
156	G	20	10	10.00G	4.0	41.22	-52.68	3.36	0.0
281	G	21	8	2.50BG	4.0	41.22	-41.21	-2.07	0.0
191	G	22	8	5.00BG	4.0	41.22	-39.09	-8.33	0.0
163	G	23	8	7.50BG	4.0	41.22	-36.33	-13.61	0.0
25	G	24	6	10.00BG	4.0	41.22	-24.01	-14.24	0.0
123	G	25	6	2.50B	4.0	41.22	-20.46	-17.64	0.0019213364508870701
93	G	26	8	5.00B	4.0	41.22	-21.08	-28.21	0.0
311	G	27	8	7.50B	4.0	41.22	-14.67	-30.69	0.0
80	G	28	10	10.00B	4.0	41.22	-10.54	-39.65	0.0
64	G	29	10	2.50PB	4.0	41.22	-2.09	-40.81	0.0
235	G	30	12	5.00PB	4.0	41.22	7.17	-48.94	0.004322052015557165
109	G	31	12	7.50PB	4.0	41.22	20.81	-48.05	0.001074548934537788
205	G	32	10	10.00PB	4.0	41.22	24.29	-38.02	0.003638718823689046
222	G	33	10	2.50P	4.0	41.22	29.49	-34.06	0.010286846510303165
184	G	34	10	5.00P	4.0	41.22	33.08	-30.5	0.0
105	G	35	10	7.50P	4.0	41.22	36.48	-25.75	0.0455678350001005
88	G	36	12	10.00P	4.0	41.22	46.93	-24.7	0.011284757133968133
135	G	37	12	2.50RP	4.0	41.22	49.84	-17.34	0.0
276	G	38	12	5.00RP	4.0	41.22	51.84	-8.08	0.0
38	G	39	12	7.50RP	4.0	41.22	52.58	-0.05	0.0
162	G	40	14	10.00RP	4.0	41.22	61.57	8.63	0.0
79	H	0	0	10.00RP	3.0	30.77	-0.02	0.03	0.0
115	H	1	10	2.50R	3.0	30.77	47.34	12.58	0.0
61	H	2	10	5.00R	3.0	30.77	46.08	20.6	0.0
41	H	3	12	7.50R	3.0	30.77	52.68	34.06	0.012563353524866216
259	H	4	10	10.00R	3.0	30.77	40.89	36.03	0.0032380926369200646
240	H	5	8	2.50YR	3.0	30.77	28.16	36.05	0.014585771750491614
283	H	6	6	5.00YR	3.0	30.77	18.18	30.27	0.0
157	H	7	6	7.50YR	3.0	30.77	13.89	33.8	0.0
51	H	8	6	10.00YR	3.0	30.77	9.51	37.16	0.09057895533051838
155	H	9	4	2.50Y	3.0	30.77	3.1	25.71	0.018008567267106004
24	H	10	4	5.00Y	3.0	30.77	-0.15	26.58	0.0026317081401977
309	H	11	4	7.50Y	3.0	30.77	-3.32	26.87	0.0343597548930164
130	H	12	4	10.00Y	3.0	30.77	-6.44	26.57	0.0
216	H	13	4	2.50GY	3.0	30.77	-10.05	24.97	0.0
111	H	14	4	5.00GY	3.0	30.77	-13.04	21.97	0.0
137	H	15	6	7.50GY	3.0	30.77	-23.96	27.29	0.0
328	H	16	6	10.00GY	3.0	30.77	-27.26	20.69	0.0
265	H	17	8	2.50G	3.0	30.77	-39.23	16.6	0.0
133	H	18	8	5.00G	3.0	30.77	-39.62	10.61	0.0
168	H	19	10	7.50G	3.0	30.77	-49.93	6.94	0.005610646068805584
323	H	20	8	10.00G	3.0	30.77	-39.18	2.14	0.0
249	H	21	6	2.50BG	3.0	30.77	-29.07	-1.92	0.0
209	H	22	6	5.00BG	3.0	30.77	-27.32	-6.72	0.0
114	H	23	6	7.50BG	3.0	30.77	-25.67	-10.89	0.0
57	H	24	6	10.00BG	3.0	30.77	-22.84	-15.29	0.0
226	H	25	6	2.50B	3.0	30.77	-19.73	-18.89	0.0
277	H	26	6	5.00B	3.0	30.77	-15.41	-22.0	0.0
257	H	27	6	7.50B	3.0	30.77	-10.88	-24.2	0.0
140	H	28	8	10.00B	3.0	30.77	-7.86	-33.8	0.0
178	H	29	10	2.50PB	3.0	30.77	0.29	-43.03	0.0
26	H	30	10	5.00PB	3.0	30.77	7.86	-43.39	0.0
279	H	31	12	7.50PB	3.0	30.77	25.75	-49.63	0.0
97	H	32	10	10.00PB	3.0	30.77	28.36	-39.75	0.009686142840259706
296	H	33	10	2.50P	3.0	30.77	33.51	-35.69	0.0
73	H	34	10	5.00P	3.0	30.77	36.9	-32.14	0.01169668204088139
131	H	35	10	7.50P	3.0	30.77	39.78	-27.99	0.0
325	H	36	10	10.00P	3.0	30.77	42.44	-23.6	0.0
317	H	37	10	2.50RP	3.0	30.77	44.87	-16.65	0.0
101	H	38	10	5.00RP	3.0	30.77	46.25	-9.51	0.0062788694445921256
53	H	39	10	7.50RP	3.0	30.77	46.93	-2.51	0.0
8	H	40	10	10.00RP	3.0	30.77	47.63	5.24	0.0
312	I	0	0	10.00RP	2.0	20.54	-0.02	0.02	0.04910287202828926
71	I	1	8	2.50R	2.0	20.54	36.82	3.13	0.0035040807981412334
194	I	2	8	5.00R	2.0	20.54	36.64	9.24	0.0
179	I	3	8	7.50R	2.0	20.54	35.15	15.44	0.0
210	I	4	6	10.00R	2.0	20.54	25.15	16.6	0.0
134	I	5	4	2.50YR	2.0	20.54	15.99	14.49	0.00514573856654019
117	I	6	4	5.00YR	2.0	20.54	13.28	18.21	0.014768208659245392
204	I	7	4	7.50YR	2.0	20.54	10.16	21.44	0.0
94	I	8	2	10.00YR	2.0	20.54	3.62	11.09	0.0
255	I	9	2	2.50Y	2.0	20.54	1.58	11.89	0.06999710278274168
113	I	10	2	5.00Y	2.0	20.54	-0.11	12.03	0.0
18	I	11	2	7.50Y	2.0	20.54	-1.74	11.57	0.024104954230931144
198	I	12	2	10.00Y	2.0	20.54	-3.09	10.75	0.0
87	I	13	2	2.50GY	2.0	20.54	-4.47	9.36	0.0
227	I	14	2	5.00GY	2.0	20.54	-5.36	7.98	0.005884493378070534
248	I	15	4	7.50GY	2.0	20.54	-14.85	15.25	0.0
75	I	16	4	10.00GY	2.0	20.54	-16.46	11.28	0.0
47	I	17	4	2.50G	2.0	20.54	-17.35	7.46	0.005561012268841996
13	I	18	6	5.00G	2.0	20.54	-27.79	7.33	0.0
271	I	19	6	7.50G	2.0	20.54	-27.43	4.26	0.0
36	I	20	6	10.00G	2.0	20.54	-26.87	1.22	0.004654503300128045
127	I	21	4	2.50BG	2.0	20.54	-17.18	-1.47	0.00843148300756436
11	I	22	4	5.00BG	2.0	20.54	-16.13	-4.67	0.0
90	I	23	4	7.50BG	2.0	20.54	-15.07	-7.11	0.0
170	I	24	4	10.00BG	2.0	20.54	-13.39	-9.92	0.0
60	I	25	4	2.50B	2.0	20.54	-11.72	-12.03	0.0
14	I	26	4	5.00B	2.0	20.54	-9.52	-13.99	0.0
166	I	27	6	7.50B	2.0	20.54	-9.22	-24.04	0.0
228	I	28	6	10.00B	2.0	20.54	-5.25	-25.49	0.0
43	I	29	6	2.50PB	2.0	20.54	0.11	-26.61	0.0
10	I	30	8	5.00PB	2.0	20.54	7.63	-35.92	0.0
313	I	31	10	7.50PB	2.0	20.54	23.81	-41.87	0.0
144	I	32	8	10.00PB	2.0	20.54	23.12	-31.33	0.0
250	I	33	8	2.50P	2.0	20.54	26.82	-27.84	0.0
150	I	34	8	5.00P	2.0	20.54	29.26	-25.01	0.0
50	I	35	6	7.50P	2.0	20.54	22.74	-16.65	0.0
4	I	36	6	10.00P	2.0	20.54	24.14	-14.33	0.0
305	I	37	8	2.50RP	2.0	20.54	34.44	-14.69	0.0
267	I	38	8	5.00RP	2.0	20.54	35.44	-10.4	0.0
243	I	39	8	7.50RP	2.0	20.54	35.97	-6.33	0.0
182	I	40	8	10.00RP	2.0	20.54	36.42	-2.08	0.0
89	J	0	0	10.00RP	1.5	15.6	-0.02	0.02	0.0
